Name,Bits,Size Of,Align Of,Kind
void,0,0,0,v
bool,1,1,1,v
i8,8,1,1,i
u8,8,1,1,u
i16,16,2,2,i
u16,16,2,2,u
i32,32,4,4,i
u32,32,4,4,u
i64,64,8,8,i
u64,64,8,8,u
f32,32,4,4,f
f64,64,8,8,f
